movie_id,imdb_id,tmdb_id,rating,average_rating,title
1,0114709,862,3.0,3.88673,Toy Story (1995)
2,0113497,8844,2.5,3.24667,Jumanji (1995)
6,0113277,949,4.0,3.84385,Heat (1995)
10,0113189,710,4.0,3.43179,GoldenEye (1995)
11,0112346,9087,2.0,3.66084,The American President (1995)
16,0112641,524,4.0,3.80181,Casino (1995)
17,0114388,4584,2.5,3.95015,Sense and Sensibility (1995)
22,0112722,1710,2.5,3.30095,Copycat (1995)
25,0113627,451,3.0,3.66698,Leaving Las Vegas (1995)
31,0112792,9909,3.0,3.23777,Dangerous Minds (1995)
32,0114746,63,4.0,3.89006,Twelve Monkeys (1995)
39,0112697,9603,1.0,3.41677,Clueless (1995)
47,0114369,807,5.0,4.0718,Se7en (1995)
48,0114148,10530,0.5,2.96318,Pocahontas (1995)
50,0114814,629,4.5,4.29227,The Usual Suspects (1995)
62,0113862,2054,3.0,3.74707,Mr. Holland's Opus (1995)
95,0115759,9208,2.5,3.10964,Broken Arrow (1996)
104,0116483,9614,2.5,3.39422,Happy Gilmore (1996)
145,0112442,9737,3.0,3.2754,Bad Boys (1995)
150,0112384,568,4.0,3.88424,Apollo 13 (1995)
157,0109370,1775,2.0,2.79469,Canadian Bacon (1995)
161,0112740,8963,4.5,3.74541,Crimson Tide (1995)
163,0112851,8068,2.0,3.43144,Desperado (1995)
165,0112864,1572,3.0,3.50765,Die Hard: With a Vengeance (1995)
185,0113957,1642,2.5,3.11895,The Net (1995)
196,0114508,9348,2.0,2.82689,Species (1995)
198,0114558,281,2.5,3.4186,Strange Days (1995)
204,0114781,3512,2.5,2.93044,Under Siege 2: Dark Territory (1995)
208,0114898,9804,2.5,2.86466,Waterworld (1995)
223,0109445,2292,3.0,3.85141,Clerks (1994)
231,0109686,8467,1.5,2.95624,Dumb and Dumber (1994)
253,0110148,628,2.5,3.50559,Interview with the Vampire (1994)
256,0110216,6280,1.0,2.68235,Junior (1994)
260,0076759,11,3.5,4.12147,Star Wars (1977)
288,0110632,241,2.5,3.25359,Natural Born Killers (1994)
292,0114069,6950,3.5,3.42013,Outbreak (1995)
